account_uid,Month,transaction_amount
186ef4a6-bdb6-4662-aeeb-ecb815d251dc,January,-47.430540540540534
186ef4a6-bdb6-4662-aeeb-ecb815d251dc,July,68.24050632911393
186ef4a6-bdb6-4662-aeeb-ecb815d251dc,June,-120.25882352941177
186ef4a6-bdb6-4662-aeeb-ecb815d251dc,March,13.297297297297296
186ef4a6-bdb6-4662-aeeb-ecb815d251dc,May,26.270555555555557
186ef4a6-bdb6-4662-aeeb-ecb815d251dc,November,72.9802380952381
186ef4a6-bdb6-4662-aeeb-ecb815d251dc,October,-102.68867924528301
186ef4a6-bdb6-4662-aeeb-ecb815d251dc,September,-34.645135135135135
24bb05f1-4751-4a0c-8a3f-861f9294b834,April,109.732
24bb05f1-4751-4a0c-8a3f-861f9294b834,August,56.62829268292683
24bb05f1-4751-4a0c-8a3f-861f9294b834,December,19.28975903614458
24bb05f1-4751-4a0c-8a3f-861f9294b834,February,51.349999999999994
24bb05f1-4751-4a0c-8a3f-861f9294b834,January,-24.52566265060241
24bb05f1-4751-4a0c-8a3f-861f9294b834,July,-37.909
24bb05f1-4751-4a0c-8a3f-861f9294b834,June,-73.1159420289855
24bb05f1-4751-4a0c-8a3f-861f9294b834,March,-91.2827397260274
24bb05f1-4751-4a0c-8a3f-861f9294b834,May,-20.92485294117647
24bb05f1-4751-4a0c-8a3f-861f9294b834,November,69.68454545454546
24bb05f1-4751-4a0c-8a3f-861f9294b834,October,77.6829268292683
24bb05f1-4751-4a0c-8a3f-861f9294b834,September,-10.43939393939394
38a64f25-3221-4661-944e-86bf6584438d,April,-38.6087012987013
38a64f25-3221-4661-944e-86bf6584438d,August,-34.899452054794516
38a64f25-3221-4661-944e-86bf6584438d,December,-38.77142857142857
38a64f25-3221-4661-944e-86bf6584438d,February,60.8684126984127
38a64f25-3221-4661-944e-86bf6584438d,January,-5.376527777777778
38a64f25-3221-4661-944e-86bf6584438d,July,-11.28640625
38a64f25-3221-4661-944e-86bf6584438d,June,7.867222222222223
38a64f25-3221-4661-944e-86bf6584438d,March,-104.61459459459459
38a64f25-3221-4661-944e-86bf6584438d,May,-14.68825581395349
38a64f25-3221-4661-944e-86bf6584438d,November,-80.73892307692307
38a64f25-3221-4661-944e-86bf6584438d,October,9.823116883116883
38a64f25-3221-4661-944e-86bf6584438d,September,22.52506329113924
a2c0a886-d116-495a-9a17-f1dd1a423190,April,-99.46134146341463
a2c0a886-d116-495a-9a17-f1dd1a423190,August,-30.625
a2c0a886-d116-495a-9a17-f1dd1a423190,December,52.13696629213483
a2c0a886-d116-495a-9a17-f1dd1a423190,February,75.29359375
a2c0a886-d116-495a-9a17-f1dd1a423190,January,-50.34177215189873
a2c0a886-d116-495a-9a17-f1dd1a423190,July,12.812328767123287
a2c0a886-d116-495a-9a17-f1dd1a423190,June,42.63
a2c0a886-d116-495a-9a17-f1dd1a423190,March,95.3222972972973
a2c0a886-d116-495a-9a17-f1dd1a423190,May,-32.49382716049383
a2c0a886-d116-495a-9a17-f1dd1a423190,November,7.55125
a2c0a886-d116-495a-9a17-f1dd1a423190,October,13.898550724637682
a2c0a886-d116-495a-9a17-f1dd1a423190,September,72.9481081081081
b16dc7f4-381b-4b7d-8917-dc9f28f80034,April,-2.5956716417910446
b16dc7f4-381b-4b7d-8917-dc9f28f80034,August,39.592708333333334
b16dc7f4-381b-4b7d-8917-dc9f28f80034,December,-140.10344827586206
b16dc7f4-381b-4b7d-8917-dc9f28f80034,February,45.148648648648646
b16dc7f4-381b-4b7d-8917-dc9f28f80034,January,39.88461538461539
b16dc7f4-381b-4b7d-8917-dc9f28f80034,July,-6.928615384615385
b16dc7f4-381b-4b7d-8917-dc9f28f80034,June,135.47193548387096
b16dc7f4-381b-4b7d-8917-dc9f28f80034,March,167.4436231884058
b16dc7f4-381b-4b7d-8917-dc9f28f80034,May,23.772151898734176
b16dc7f4-381b-4b7d-8917-dc9f28f80034,November,44.717888888888886
b16dc7f4-381b-4b7d-8917-dc9f28f80034,October,-60.38028169014085
b16dc7f4-381b-4b7d-8917-dc9f28f80034,September,54.71910112359551
b8327f38-160d-4004-8f74-be8da19aaa15,April,86.53164556962025
b8327f38-160d-4004-8f74-be8da19aaa15,August,49.53521126760563
b8327f38-160d-4004-8f74-be8da19aaa15,December,-18.047631578947367
b8327f38-160d-4004-8f74-be8da19aaa15,February,64.09859154929578
b8327f38-160d-4004-8f74-be8da19aaa15,January,-70.70270270270271
b8327f38-160d-4004-8f74-be8da19aaa15,July,68.35
b8327f38-160d-4004-8f74-be8da19aaa15,June,64.55350649350649
b8327f38-160d-4004-8f74-be8da19aaa15,March,-21.053690476190475
b8327f38-160d-4004-8f74-be8da19aaa15,May,-69.58765625000001
b8327f38-160d-4004-8f74-be8da19aaa15,November,75.78461538461538
b8327f38-160d-4004-8f74-be8da19aaa15,October,-0.10391304347826087
b8327f38-160d-4004-8f74-be8da19aaa15,September,67.1875
c26ca746-9ab4-493d-ad7f-5f952ebe569a,April,-0.6153846153846154
c26ca746-9ab4-493d-ad7f-5f952ebe569a,August,46.40191780821918
c26ca746-9ab4-493d-ad7f-5f952ebe569a,December,35.20462365591398
c26ca746-9ab4-493d-ad7f-5f952ebe569a,February,24.74137931034483
c26ca746-9ab4-493d-ad7f-5f952ebe569a,January,-153.9470512820513
c26ca746-9ab4-493d-ad7f-5f952ebe569a,July,61.06666666666667
c26ca746-9ab4-493d-ad7f-5f952ebe569a,June,-5.428571428571429
c26ca746-9ab4-493d-ad7f-5f952ebe569a,March,-78.63593023255815
c26ca746-9ab4-493d-ad7f-5f952ebe569a,May,106.01573033707867
c26ca746-9ab4-493d-ad7f-5f952ebe569a,November,9.36774647887324
c26ca746-9ab4-493d-ad7f-5f952ebe569a,October,34.845238095238095
c26ca746-9ab4-493d-ad7f-5f952ebe569a,September,43.58441558441559
d481f7dd-8923-44d5-bc2e-e518435389d2,April,43.87913043478261
d481f7dd-8923-44d5-bc2e-e518435389d2,August,-65.61675675675676
d481f7dd-8923-44d5-bc2e-e518435389d2,December,41.25333333333333
d481f7dd-8923-44d5-bc2e-e518435389d2,February,-14.444444444444445
d481f7dd-8923-44d5-bc2e-e518435389d2,January,10.865632183908046
d481f7dd-8923-44d5-bc2e-e518435389d2,July,0.3247945205479452
d481f7dd-8923-44d5-bc2e-e518435389d2,June,-138.24303370786515
d481f7dd-8923-44d5-bc2e-e518435389d2,March,-48.3780487804878
d481f7dd-8923-44d5-bc2e-e518435389d2,May,-12.11939393939394
d481f7dd-8923-44d5-bc2e-e518435389d2,November,-54.66342465753425
d481f7dd-8923-44d5-bc2e-e518435389d2,October,-178.17212121212123
d481f7dd-8923-44d5-bc2e-e518435389d2,September,96.41370967741935
fcdbe47f-44a7-40fc-9389-0b973a529245,April,-2.5662820512820512
fcdbe47f-44a7-40fc-9389-0b973a529245,August,-0.9344262295081968
fcdbe47f-44a7-40fc-9389-0b973a529245,December,-35.28235294117647
fcdbe47f-44a7-40fc-9389-0b973a529245,February,67.8
fcdbe47f-44a7-40fc-9389-0b973a529245,January,-91.47607843137254
fcdbe47f-44a7-40fc-9389-0b973a529245,July,94.06493506493507
fcdbe47f-44a7-40fc-9389-0b973a529245,June,-25.604520547945206
fcdbe47f-44a7-40fc-9389-0b973a529245,March,-38.234939759036145
fcdbe47f-44a7-40fc-9389-0b973a529245,May,-206.10500000000002
fcdbe47f-44a7-40fc-9389-0b973a529245,November,-42.862162162162164
fcdbe47f-44a7-40fc-9389-0b973a529245,October,-57.63529411764706
fcdbe47f-44a7-40fc-9389-0b973a529245,September,124.73078124999999
